model,accuracy,f1_macro,precision_macro,recall_macro,exp,window_size,blink_ear_thresh,yawn_mar_thresh,min_frames
RF,0.538559592096877,0.5354191205339616,0.5373838353061184,0.5367094432646371,ws60_be0.21_ym0.65_mf15,60,0.21,0.65,15
HGB,0.5959209687699172,0.58958153858341,0.5976675015119469,0.5929602359759211,ws60_be0.22_ym0.55_mf15,60,0.22,0.55,15
LogReg,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.55_mf15,60,0.22,0.55,15
LinearSVM,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.55_mf15,60,0.22,0.55,15
RF,0.5493945188017846,0.5452380864532331,0.5484498971495739,0.5471854277714,ws60_be0.22_ym0.55_mf15,60,0.22,0.55,15
HGB,0.6054811982154238,0.5980028684190375,0.6086613737586102,0.602195525693602,ws60_be0.22_ym0.60_mf15,60,0.22,0.6,15
LogReg,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.60_mf15,60,0.22,0.6,15
LinearSVM,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.60_mf15,60,0.22,0.6,15
RF,0.5487571701720841,0.5443099662965964,0.5478098049255544,0.5464601985762092,ws60_be0.22_ym0.60_mf15,60,0.22,0.6,15
HGB,0.6054811982154238,0.5980028684190375,0.6086613737586102,0.602195525693602,ws60_be0.22_ym0.65_mf15,60,0.22,0.65,15
LogReg,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.65_mf15,60,0.22,0.65,15
LinearSVM,0.5908221797323135,0.5807662341554044,0.6076831414533989,0.5955139858661611,ws60_be0.22_ym0.65_mf15,60,0.22,0.65,15
RF,0.5493945188017846,0.545125452246872,0.548455908156615,0.5471504671711833,ws60_be0.22_ym0.65_mf15,60,0.22,0.65,15
HGB,0.6026743075453678,0.5963553057880651,0.6050736610745218,0.5998466425676415,ws90_be0.20_ym0.55_mf15,90,0.2,0.55,15
LinearSVM,0.5950334288443171,0.587553236559859,0.6082691800369331,0.5989045897688685,ws90_be0.20_ym0.55_mf15,90,0.2,0.55,15
LogReg,0.5873925501432665,0.5806253013388718,0.5987331248267944,0.5910614525139665,ws90_be0.20_ym0.55_mf15,90,0.2,0.55,15
RF,0.5692454632282713,0.5607032513933945,0.5704981754101428,0.5660258516814547,ws90_be0.20_ym0.55_mf15,90,0.2,0.55,15
LinearSVM,0.5959885386819485,0.5884177706322691,0.6094780527630146,0.5998849819257313,ws90_be0.20_ym0.60_mf15,90,0.2,0.6,15
HGB,0.5931232091690545,0.5864499499313875,0.5951372742250897,0.5902398948406178,ws90_be0.20_ym0.60_mf15,90,0.2,0.6,15
LogReg,0.5883476599808978,0.5814924697635898,0.5999124044772807,0.5920418446708293,ws90_be0.20_ym0.60_mf15,90,0.2,0.6,15
