model,mean,std,median,min,max,n_exps,wins,win_rate
LinearSVM,0.5722630828845696,0.019566473980590283,0.5791820084358557,0.5193816479450515,0.5901459171917844,27,10,0.37037037037037035
LogReg,0.5681694238951733,0.01822642008813076,0.5787177054300342,0.522216161232858,0.5814924697635898,27,9,0.3333333333333333
HGB,0.5581415395966687,0.0349301628059391,0.5643407948958381,0.4965319865319865,0.5998096536786531,27,8,0.2962962962962963
RF,0.5332813871059274,0.026745308178392734,0.545125452246872,0.4922924510499878,0.5645994531548721,27,0,0.0
